,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,255,2,0,2,1,0,1,0,4,1,1,1,0,2,1,3,3,2,1,39
comp.graphics,1,300,2,13,30,5,19,0,1,4,0,3,8,0,1,0,0,0,0,2
comp.os.ms-windows.misc,0,43,127,118,57,5,27,2,1,2,0,0,2,0,4,0,0,0,1,5
comp.sys.ibm.pc.hardware,0,4,1,306,48,0,18,0,1,0,0,0,14,0,0,0,0,0,0,0
comp.sys.mac.hardware,0,3,0,11,351,0,10,2,0,2,0,0,5,0,1,0,0,0,0,0
comp.windows.x,0,59,4,19,23,262,21,1,0,0,0,0,4,0,2,0,0,0,0,0
misc.forsale,0,0,2,28,14,0,329,8,3,0,0,0,4,0,1,0,0,0,0,1
rec.autos,0,1,0,2,1,0,11,370,3,1,0,0,5,0,0,0,0,0,2,0
rec.motorcycles,0,0,0,1,1,0,5,4,386,0,0,0,1,0,0,0,0,0,0,0
rec.sport.baseball,2,0,0,0,1,0,12,1,1,375,5,0,0,0,0,0,0,0,0,0
rec.sport.hockey,1,1,0,0,1,0,5,0,1,9,375,0,3,0,0,0,0,0,0,3
sci.crypt,2,6,0,2,14,1,11,1,0,0,0,341,5,1,1,0,7,0,2,2
sci.electronics,1,11,0,27,25,0,23,6,5,0,0,2,288,3,0,0,0,0,1,1
sci.med,12,3,0,1,10,0,34,5,9,1,0,0,12,291,0,0,0,1,4,13
sci.space,4,10,0,0,1,0,9,2,0,1,0,1,7,4,343,0,2,0,7,3
soc.religion.christian,15,1,0,0,2,0,7,0,1,1,0,0,2,0,1,324,0,0,1,43
talk.politics.guns,0,0,0,0,2,0,3,1,2,0,0,4,1,0,0,0,329,0,3,19
talk.politics.mideast,43,1,0,0,4,0,5,1,5,2,0,1,1,0,0,0,4,282,17,10
talk.politics.misc,7,1,0,0,5,0,3,0,4,2,0,3,0,0,6,0,81,0,179,19
talk.religion.misc,39,3,0,0,0,0,2,2,0,0,0,0,0,0,3,9,14,1,3,175
